pub_identity,pub_deletion,place,name,address,latitude,longitude,category,rank,station_identity,area_identity
039eff8c-6227-49b2-be8a-36126274addf,False,ChIJhwNp3icDdkgRZ0eKNc_cQP0,Salt Quay Rotherhithe,"163 Rotherhithe St, London SE16 5QU, UK",51.50461552979823,-0.047614574432373,bar,0.0,28bd21f4-5a9c-42e5-8103-04e9769f7709,95a37f36-5b87-4eb8-b1d8-2aba80c64d7a
e5a2d84a-ce35-4087-9faa-ab8ebf3549f0,False,ChIJP2aSFSQDdkgRPnI3Uh0gy2I,The Ship Rotherhithe,"39-47 Saint Marychurch St, London SE16 4JE, UK",51.50056837235556,-0.0550174713134765,restaurant,0.0,28bd21f4-5a9c-42e5-8103-04e9769f7709,1c66e2c9-d99f-479f-8fcd-95a55d380678
43e5dbec-ad39-4c6c-95bd-68967a88d04a,False,ChIJu6FqNjsDdkgRS8MOuaNPjD0,The Angel,"101 Bermondsey Wall E, London SE16 4NB, UK",51.50066187509827,-0.059051513671875,bar,0.0,10ff0f00-2b51-4f14-ad3e-09939c8cf71e,1c66e2c9-d99f-479f-8fcd-95a55d380678
31578bef-e1d2-4852-a548-beda55ab792c,False,ChIJVYnj4zsDdkgRwZU7l1KpfJ8,The Old Justice,"94 Bermondsey Wall E, London SE16 4TY, UK",51.50022107477452,-0.0642013549804687,bar,0.0,2a815311-c162-4c4a-94bf-e5a3e1638564,3765283d-ade4-45d8-b3fa-2121fc7776ad
f8912654-fd42-472b-ab2c-efdf4522b44f,False,ChIJh1tJXp8DdkgR0tQVzkc856k,St James of Bermondsey,"72 St James's Rd, London SE16 4QZ, UK",51.49545214417801,-0.0658535957336425,bar,0.0,2a815311-c162-4c4a-94bf-e5a3e1638564,3765283d-ade4-45d8-b3fa-2121fc7776ad
030c2476-0498-4cdf-8368-5a55a1e8f902,False,ChIJj9kSTD0DdkgRgdDF7jDzbxI,The Stanley Arms,"418 Southwark Park Rd., London SE16 2ET, UK",51.4949578567272,-0.0588798522949218,bar,0.0,2a815311-c162-4c4a-94bf-e5a3e1638564,3765283d-ade4-45d8-b3fa-2121fc7776ad
569209fe-7b87-4d11-8d24-3525d6b8e560,False,ChIJE7M8sUYDdkgRVzvkzA_afC8,London Beer Factory - Barrel Project,"80 Druid St, London SE1 2HQ, UK",51.4996867656358,-0.075230598449707,bar,0.0,43b81dfd-68c0-440d-88f7-99847590bee5,973e12de-e093-438f-8878-6337a0555ee8
55160e29-789d-4ec1-ae2c-07ae7dd30194,False,ChIJU2RB6TUDdkgRdMFTLtY_DYU,Simmons Bar | Tower Bridge,"61 Royal Mint St, London E1 8LG, UK",51.51071897849311,-0.0690937042236328,bar,0.0,43b81dfd-68c0-440d-88f7-99847590bee5,1c66e2c9-d99f-479f-8fcd-95a55d380678
35562c4e-3c2f-4a4f-add6-e8c7f407bcf9,False,ChIJfWsYnlYDdkgR1GxOG9B7Eqg,The Oyster Shed,"1 Angel Ln, London EC4R 3AB, UK",51.5091030464928,-0.0897145271301269,bar,0.0,e152f0fa-98f7-45d8-a9f9-e0ada5d954a3,71f589fb-f617-48b9-b779-dc1e8d73b1fe
753df00b-babe-4873-a8f2-8f4cd8e02749,False,ChIJo15e1lkDdkgR-X84Yf2cA0s,George,"75 Borough High St, London SE1 1NH, UK",51.5042549065934,-0.0901007652282714,bar,0.0,f5b94c64-beb5-4295-95a1-34fc1f5b5a8d,75808b33-a6d6-4e79-bc63-cce0831d36a9
