brunch,dart,detail,entertain,favourite,garden,history,late,music,pool,pub_identity,quiz,review_deletion,review_identity,roast,sport
True,False,Table football,False,False,True,False,False,False,True,7eb2bc28-8b0c-4409-be4a-13cd97394d9b,False,False,3a285501-820c-468c-bba1-bf8f6f6e4943,False,True
False,False,Fri DJs. Sat live music. Sun 7.30pm quiz,False,False,False,False,False,True,False,85f36fdf-63f5-4b98-ad76-21b2ba5ef8dd,True,False,a09c62bf-53a7-4728-b7b4-9ce9dc33b857,False,True
False,False,Sun 7pm quiz and some live music,False,False,True,False,False,True,False,9cbd4a94-74c1-4848-a59d-26bf708c61db,True,False,5afcb66b-493d-4b7d-b9de-67696f6b4005,False,True
True,False,Tue:open mic. Sun:8pm quiz,False,False,False,False,True,True,False,bfe9cb5f-28a3-45b0-94dd-9e0a55860a1e,True,False,76259191-857e-4945-adfb-849091cbf3ac,True,True
False,False,Bi-Tue 8pm quiz,False,False,True,False,False,False,False,8bc03630-ea34-4c77-8f1c-cfa15e9a916a,True,False,dcc9ce4b-a6c0-4c40-abe5-7babe4d12c86,False,False
False,False,Fri karaoke,False,False,False,False,False,False,False,cf3b7582-9056-4f63-8421-67ff8fc2f156,False,False,78f143d7-995b-49d0-9e31-6be6cfdb6dc5,False,True
False,False,Traditional pub,False,False,True,False,False,False,False,dba3ecae-092a-4b7a-b78c-3fa24f1bf51f,False,False,fa9e6c83-a116-4b8e-ae0f-a99f6284dcd1,True,True
False,False,Traditional pub,False,False,True,False,False,False,False,b2d52630-79bf-457d-98f8-e7bf1de62b39,False,False,8d5a1f9a-c3bb-42e3-a6d7-312ec871fcdf,True,True
False,False,1st/3rd Wed 7.30pm quiz,False,False,True,False,False,False,False,3993b00b-0847-4431-9392-ff60a69e1074,True,False,b6aa21b8-cd53-4202-8346-70f610a3ad9a,True,True
False,False,Outdoor seating,False,False,False,False,True,False,False,b953b279-995b-4f94-81a5-b201be523aa1,False,False,ae71a207-0d41-40a5-a298-2eace8c23a2e,True,True
True,False,Tuesday 8pm quiz,False,False,True,False,True,False,False,d0b56227-3c66-40d6-81d7-aa19c1f50dea,True,False,d469e300-2409-4cfb-b2f4-80b847f98573,True,True
False,False,Wed 8pm quiz,False,False,True,True,False,False,False,c39e7404-5f5c-4ebf-adaa-3412cb3f1a61,True,False,ba166878-8fe4-425c-b6f5-686113249938,True,False
