station_identity,station_deletion,station_name,station_latitude,station_longitude,zone,postcode,direction
57e01997-ee1b-4f2b-91fa-d0797ed221d2,False,Borough,51.50104871772216,-0.0941973226385839,1,SE1 1JX,South
96b273da-b7cd-489d-aca1-493eef603881,False,Boston Manor,51.49576500584812,-0.3247471826223813,4,TW8 9LQ,South West
cf76aa5f-76dc-4d7f-8e8c-2004bfc851d6,False,Bounds Green,51.60703172061751,-0.1241770647347964,"3,4",N11 2EU,North
749c295d-c53a-4726-b9d6-c929a15b4d9a,False,Bow Church,51.52761517272713,-0.0204998991771463,2,E3 3AA,East
8de24259-8e46-488a-a92e-880416cf8cd4,False,Bow Road,51.52704176950966,-0.0243595906326814,2,E3 4DH,East
589f4b88-e161-4e9f-820f-43b69593267c,False,Bowes Park,51.60724932125086,-0.1197922183441603,"3,4",N22 8NL,North
706f9361-3adb-41e7-9dab-aa1f1e5076a4,False,Brent Cross,51.57659886839313,-0.2133358378663098,3,NW11 9UA,North
39ead995-2e04-421c-a69c-963a4e54ad84,False,Brentford,51.487535802426834,-0.309622531111568,4,TW8 9LF,South West
196530ca-3bf7-4aa6-8704-1ba0c094a329,False,Brentwood,51.613610829903095,0.2996728214582176,7,CM14 4EW,North East
1874e07f-a7b0-4f47-9515-d15eafd0cd46,False,Brimsdown,51.65524456622429,-0.0310922768910031,5,EN3 7NA,East
f23c49ec-fe29-4b7e-8270-86318febdfc4,False,Brixton,51.46273661697816,-0.1145520968292283,2,SW9 8HE,South
fcaf650b-c168-47e1-afb0-6c1fe368c077,False,Brockley,51.46474960336704,-0.0377482504677787,2,SE4 2RW,South
b82b5e79-de26-4c8f-bdfb-8bfdb19020c2,False,Bromley North,51.40894234206782,0.0172354519587101,4,BR1 3NN,South East
541b8ab1-327f-4111-b2f1-c074deeeb20f,False,Bromley South,51.40000131982635,0.0173595804973148,5,BR1 1LX,South East
e8653730-2d95-4247-a9d3-6fd1c71c780f,False,Bromley-by-Bow,51.52484018370095,-0.0116823743530453,"2,3",E3 3BT,East
284b29f2-4669-431c-9942-9ad451aabf46,False,Brondesbury,51.54526203281226,-0.2028384833427922,2,NW6 7QL,North
01277358-19c3-4c89-9b9d-99586d98c154,False,Brondesbury Park,51.54032502366848,-0.2104739441080781,2,NW6 6RP,North
c1e2646d-d263-4ef3-9484-3fdf35e3d091,False,Broxbourne,51.74701555272976,-0.0110240837822528,9,EN10 7AW,East
bbb759cc-c8f9-40e2-8000-4de5c72206c2,False,Bruce Grove,51.59401113363423,-0.07039898936228,3,N17 8AD,North
843f59bb-8f06-47db-8a10-161d6e0560cc,False,Buckhurst Hill,51.62657674004732,0.0467125414287692,5,IG9 5ET,North East
e59b5bad-a164-4f87-aedb-7d1a919f23ed,False,Burnham,51.52350398967751,-0.6463882083350451,,SL1 6JT,South
8dce247a-a5e9-4aed-a85f-151548f732ae,False,Burnt Oak,51.60255148173764,-0.2643307082008112,4,HA8 0LA,North West
e9f1a099-b70f-40af-b404-4586a315c1ef,False,Bush Hill Park,51.64148184854447,-0.0692804122261309,5,EN1 1BA,East
f58406b5-566a-462a-a066-af423feef466,False,Bushey,51.64554353257736,-0.3847215327260823,8,WD19 4ST,West
42b50a60-e2fd-4ca0-a521-ee076f060f07,False,Caledonian Road,51.54788524982811,-0.1183608610646948,2,N7 9BA,North
999d4e8b-7f82-4c3e-8a3d-04b1ca3aad65,False,Caledonian Road and Barnsbury,51.54328438938168,-0.1152048559488143,2,N1 0SL,North
54fe26e3-fea8-457d-89e4-bc9be6c26a42,False,Cambridge Heath,51.5320596731624,-0.0572032006374023,2,E2 7NA,East
ec90fc90-5f25-4090-ad52-824e6d6bf3a9,False,Camden Road,51.54185100885649,-0.1392031114010443,2,NW1 9LQ,North
c8ba9409-51c5-4435-ac3c-9b17feb49030,False,Camden Town,51.53996912160411,-0.1424523798764894,2,NW1 8NH,North
