pub_identity,pub_deletion,place,name,address,latitude,longitude,category,station_identity,area_identity
eabe0a83-2841-4c72-b86a-4fb5504e2161,False,ChIJnx8u7bQEdkgRGm5XKuA0SBQ,The George,"213 Strand, Temple, London WC2R 1AP, UK",51.5131978,-0.1130845,bar,a9dd3bb6-f448-4315-b4b9-be59803228f3,87fbc59f-9c44-4e78-b4b5-000ef3b4d559
75d7f798-4740-483c-9140-88318b66078e,False,ChIJPyb_JskEdkgRDw4ffzUc8cQ,The Coal Hole,"91-92 Strand, Greater, London WC2R 0DW, UK",51.510391790277765,-0.1212948560714721,bar,457a9061-abd6-4bb1-8017-0c1eaeb4efdd,5dbbbdb9-3ab1-4a96-a0e9-edf4ca8bd52a
2fb4fd5e-0efa-406b-9766-68a70919ff97,False,ChIJecwW7esFdkgRtcYqImd3s0w,Champagne and Fromage,"22 Wellington St, London WC2E 7DD, UK",51.5120123,-0.1200806,restaurant,6755ece0-c460-4849-9ba9-ece9e516d8f1,5dbbbdb9-3ab1-4a96-a0e9-edf4ca8bd52a
e8cbe945-648f-4a82-8e4b-8a6eb043af7f,False,ChIJKZfgUMoEdkgRjRIYygsCkSY,Christophers,"18 Wellington St, London WC2E 7DD, UK",51.51193923626556,-0.1198330521583557,restaurant,6755ece0-c460-4849-9ba9-ece9e516d8f1,5dbbbdb9-3ab1-4a96-a0e9-edf4ca8bd52a
5c5aa314-0ef0-4a92-9aa2-45e89bcd7f0c,False,ChIJa1uHRMoEdkgRq4LNAJbXbhg,CellarDoor,"Zero Aldwych, Wellington St, London WC2E 7DN, UK",51.5116153953917,-0.1193569600582122,bar,a9dd3bb6-f448-4315-b4b9-be59803228f3,5dbbbdb9-3ab1-4a96-a0e9-edf4ca8bd52a
0ca14449-0d5b-4e03-9247-99fed9cebbc3,False,ChIJ8W1157cEdkgRaKMYsrcpgH0,Royal Festival Hall,"Southbank Centre, Belvedere Rd, London SE1 8XX, UK",51.5060805,-0.1163042,bar,ebf71968-a0a8-48a5-b003-63b1b53f9375,31e94930-b83f-4fed-914f-23c75fb14cae
6bb18e6f-42e5-4f54-b98a-75302168364c,False,ChIJ5RaXpLMcdkgR9zQEorKYcI4,Kings Stores,"14 Widegate St, London E1 7HW, UK",51.5179984,-0.0778238,bar,21d98f91-f4f6-4a17-9c96-2f81a74a8a5c,480fafaa-7b2b-4282-a14f-e226e0b20922
49bf46f8-088d-44aa-afee-c96875a311a7,False,ChIJ2QufhMwEdkgRXCUo74j_0Zo,The Nags Head,"10 James St, London WC2E 8BT, UK",51.5129465,-0.1236617,bar,6755ece0-c460-4849-9ba9-ece9e516d8f1,5dbbbdb9-3ab1-4a96-a0e9-edf4ca8bd52a
57fe4fa1-3339-47f7-be7c-8de1e4b539d6,False,ChIJ2Qu8ycwEdkgRAGMpL0ZIvEs,Circus,"27-29 Endell St, London WC2H 9BA, UK",51.5144914,-0.124899,bar,6755ece0-c460-4849-9ba9-ece9e516d8f1,5dbbbdb9-3ab1-4a96-a0e9-edf4ca8bd52a
9b7c0aba-1eb5-4006-887b-d7903b0a566d,False,ChIJsecEQrMEdkgRvd4CVnayQPs,Ye Olde Cock Tavern,"22 Fleet St, Temple, London EC4Y 1AA, UK",51.5137341,-0.1104919,bar,d6281a4d-bb07-4586-84b6-c4eab9b52dc4,87fbc59f-9c44-4e78-b4b5-000ef3b4d559
79bfdc53-24f4-4f44-8b80-3a0a553b0898,False,ChIJs73oJLMEdkgRTi3AY5xywJg,El Vino Fleet Street,"47 Fleet St, Temple, London EC4Y 1BJ, UK",51.5140192,-0.1092033,bar,d6281a4d-bb07-4586-84b6-c4eab9b52dc4,87fbc59f-9c44-4e78-b4b5-000ef3b4d559
fc01e35d-870c-4e42-9465-9087f316a824,False,ChIJEfqJek4bdkgRyQYJiqgSDew,The Craft Beer Co,"82 Leather Ln, London EC1N 7TR, UK",51.5212417,-0.109611,bar,d6281a4d-bb07-4586-84b6-c4eab9b52dc4,87b4b121-bf17-44e7-805a-a860f9ee4b33
712563fe-a173-4e5f-ac01-7da8c79e2e73,False,ChIJEzxesdQEdkgRPSzStADi2KQ,Copita,"27 D'Arblay St, London W1F 8EN, UK",51.5145352,-0.1360063,restaurant,7d6570e0-c264-4105-a26e-7864393b92ed,1676a419-f2d0-4bf4-a5ae-569fea25e991
6c3d8d8e-0d88-4610-849f-f8e54d9ca908,False,ChIJAyUgv9QEdkgRn5HRBvUrTSo,Barrio Soho,"6 Poland St, London W1F 8PS, UK",51.5141796,-0.1365644,bar,7d6570e0-c264-4105-a26e-7864393b92ed,1676a419-f2d0-4bf4-a5ae-569fea25e991
d7ce77a7-de01-4e3d-ab87-6ebfc1b5f6f2,False,ChIJsc-I-CsbdkgRf9RP9okWL5k,Reverend J W Simpson,"32 Goodge St, London W1T 2QJ, UK",51.5197314,-0.135236,bar,221804cf-0da7-4ba7-ae93-4696429152ce,1676a419-f2d0-4bf4-a5ae-569fea25e991
a9001d88-fd2e-4240-a95a-c98322365eb0,False,ChIJGwSfOroEdkgRj73qMoMAw1w,Fire Station,"150 Waterloo Rd, London SE1 8SB, UK",51.50257196056819,-0.1106035709381103,bar,54f3eb8b-4c46-42d1-9b5f-4778650cae45,31e94930-b83f-4fed-914f-23c75fb14cae
9f2df78c-a1c4-4070-88da-8ba2d8bbe87d,False,ChIJM0n9x7IEdkgRZllOf-c6RYQ,Ye Olde Cheshire Cheese,"145 Fleet St, London EC4A 2BP, UK",51.5143485,-0.1071697,bar,afa09622-cf9e-46f3-8137-da52aa748819,87b4b121-bf17-44e7-805a-a860f9ee4b33
8905f38f-5abe-4ff7-9b22-72ab50645c21,False,ChIJeaFiSVAbdkgRMReUY6rO8Kw,The Dovetail,"9-10 Jerusalem Passage, London EC1V 4JP, UK",51.5232321,-0.1039848,restaurant,86863791-1cbc-4743-8fc1-daed77eb8128,87b4b121-bf17-44e7-805a-a860f9ee4b33
85734c01-6261-4784-b024-637b12b8d4f4,False,ChIJc1290q8EdkgRzmquDwQgy48,Fullers Ale and Pie House,"60-63 W Smithfield, London EC1A 9DY, UK",51.51879527524319,-0.1005265116691589,bar,d97b5ad4-eff1-439d-aad7-b121519aa3db,87b4b121-bf17-44e7-805a-a860f9ee4b33
