pub_identity,detail,monday,tuesday,wednesday,thursday,friday,saturday,sunday,brunch,dart,entertain,favourite,garden,history,late,music,pool,quiz,roast,sport
17ee2a1c-5789-46fb-86a6-6e248f4beba9,Bar billiards,,,,,,,,,,,,,,,,,,,
180f2d7c-ac08-4db1-88a7-ffb8f4d0029d,Hotel bar,,,,,,,,,,,,,,,,,,,
182940a3-51d2-4bf5-aa13-e4d5e3770660,Wine shop & bar,,,,,,,,,,,,,,,,,,,
19058774-95fa-44a4-9dc3-ba8c1bf54c5e,Speakeasy hotel cocktail bar,,,,,,,,,,,,,,,,,,,
1add98b7-8cca-4c6e-9a8a-a35e3b4e41ec,Mon 8.30pm quiz,,,,,,,,,,,,,,,,,,,
1b258b22-a853-4d64-947e-5ef4ade978be,0,,,,,,,,,,,,,,,,,,,
1b463e1c-9190-4275-a39c-d694eb42d636,Closed Sunday,,,,,,,,,,,,,,,,,,,
1b4ccd05-d381-4acd-9a01-5001e177af45,Outdoor seating,,,,,,,,,,,,,,,,,,,
1ba25292-f62c-49c1-8d27-f6f237d469a0,Classic pub with outdoor seating,,,,,,,,,,,,,,,,,,,
1c199a57-3098-4df8-bdac-264d8eab6968,Tuesday night quiz,,,,,,,,,,,,,,,,,,,
1c7e7828-93b6-44b9-86da-4b955c71b29f,Outdoor seating,,,,,,,,,,,,,,,,,,,
1c824df1-d850-435e-8e86-275108d5c40f,TBC,,,,,,,,,,,,,,,,,,,
1d738594-fab9-441a-ae75-2283218418d7,Regular live music,,,,,,,,,,,,,,,,,,,
1d7a8905-b34f-4fc2-8eed-ade8cc3a0a8d,False,,,,,,,,,,,,,,,,,,,
1d87e7f7-723f-46eb-b9b2-cb5b25a489c0,Cask ales,,,,,,,,,,,,,,,,,,,
1f0559e7-d494-4404-8d53-e093ba2091b6,Fantastic decor. Sun live music. Closed Mon,,,,,,,,,,,,,,,,,,,
1fe108f3-ae4e-4182-b744-b04fe60c2e5c,Chilled bar,,,,,,,,,,,,,,,,,,,
20206090-61e3-4258-9023-955f54ed7ebc,Traditional pub,,,,,,,,,,,,,,,,,,,
20a2785f-94a0-474f-ac6b-284bd9366bf7,Wed 7.30pm quiz. Thurs bingo. Outdoor seating,,,,,,,,,,,,,,,,,,,
2126582f-d4b3-44d2-afe2-5bed8420088a, ,,,,,,,,,,,,,,,,,,,
2187101a-c4ba-4e73-abba-01f094808673,0,,,,,,,,,,,,,,,,,,,
21ba3669-2407-4fa3-928f-3ab6943c4917,Weatherspoons,,,,,,,,,,,,,,,,,,,
22003f66-9161-4304-b2d2-6b3dc719b353,Small pub with dining,,,,,,,,,,,,,,,,,,,
225ccf9c-41d4-4a1d-8316-a50397a1776f,Classic pub with outdoor seating,,,,,,,,,,,,,,,,,,,
