address,area_identity,category,place,pub_deletion,pub_identity,pub_latitude,pub_longitude,pub_name,rank,station_identity,colour
"9 Mabledon Pl, London WC1H 9AZ, UK",8d7a9d04-eea3-45d7-a17c-e5271cbc1fa4,Bar,ChIJd3ly4TobdkgR6WMYc91z15Q,False,cf5c45aa-aaf6-4ac0-ba85-8cdb27e4d276,51.52783069252965,-0.1275718957185745,Mabel's Tavern,4.2,9e6ac1e8-b05d-4fd5-a4a3-ba878a4697f3,
"37 Cavendish Square, Greater, London W1G 0PP, UK",632602fe-f847-4e12-9e03-31e3d22aa344,Bar,ChIJo7F5IdUadkgRlfsdb-zHeB0,False,1b258b22-a853-4d64-947e-5ef4ade978be,51.51613477059503,-0.1436691731214523,The Phoenix,4.3,7d6570e0-c264-4105-a26e-7864393b92ed,
"47 Tonbridge St, London WC1H 9DW, UK",8d7a9d04-eea3-45d7-a17c-e5271cbc1fa4,Bar,ChIJz4Y8xzsbdkgRxRbrqjP9yVo,False,5cf4aec7-51e4-4bc0-acc2-b8042ab0363e,51.52895892465534,-0.1246945559978485,The Dolphin Pub,4.2,7052bc86-1a69-473e-a84d-ce28b79b94b9,
"157 Balham High Rd, London SW12 9AU, UK",5f526db5-a48e-4d34-b017-e6c833dbb57c,Bar,ChIJZ89_ec8FdkgRvb3Dr64YTZY,False,02d0238e-4c9e-4b8b-a3d7-75932572cd2b,51.44390093200054,-0.1522224023938179,Hagen & Hyde,4.2,bf2d221c-83e7-4bf7-b4a9-7be48f32dd5b,#d9534f
"39 Balham High Rd, London SW12 9AN, UK",5f526db5-a48e-4d34-b017-e6c833dbb57c,Bar,ChIJ9S2mLckFdkgRm7doWi-g3k8,False,540826ee-31c9-4644-bbbd-b3ef0d47b08b,51.44692506170376,-0.1489963755011558,The Devonshire,4.2,a9363065-6046-4c1c-bf5c-f0194750a613,
"14 Clapham Common South Side, London SW4 7AA, UK",8aed4e72-6690-4915-88c7-a7047131bf7e,Bar,ChIJY9Thc00EdkgRgvsx6E0alKA,False,4b35c570-5afd-4f2d-a3f4-5d994a7e76e4,51.461319529990334,-0.1382601633667946,The Alexandra,4.1,c13c85c6-6544-49cc-8b21-45899b992816,
"62 Stamford St, London SE1 9LX, UK",31e94930-b83f-4fed-914f-23c75fb14cae,Bar,ChIJIfvKrLEEdkgRakjNJIpoutc,False,f39db520-b94f-49a5-8c56-e1afad69483d,51.50711435315972,-0.1081282272934913,The Thirsty Bear,4.1,54f3eb8b-4c46-42d1-9b5f-4778650cae45,
"16 Balham Hill, London SW12 9EB, UK",5f526db5-a48e-4d34-b017-e6c833dbb57c,Bar,ChIJP1VDwskFdkgRuEghk9bLICU,False,350d77be-b4c5-4984-ab2f-6d2de41415e0,51.45067506377649,-0.1479942351579666,The Avalon,4.2,a9363065-6046-4c1c-bf5c-f0194750a613,#0275d8
"77 Bedford Hill, London SW12 9HD, UK",5f526db5-a48e-4d34-b017-e6c833dbb57c,Bar,ChIJwYT1Mc4FdkgRzo7RtzDjKg0,False,3c88a054-9473-4368-b392-af38c73e9797,51.44274802385799,-0.1494734734296798,The Bedford,4.2,bf2d221c-83e7-4bf7-b4a9-7be48f32dd5b,#0275d8
"21 Chestnut Grove, London SW12 8JB, UK",5f526db5-a48e-4d34-b017-e6c833dbb57c,Bar,ChIJlTC9n8UFdkgR1p8mmsmI20Q,False,55f393ed-9aa5-4bb1-96b1-1b940022e694,51.44403801684009,-0.1536821946501732,The Regent,4.2,bf2d221c-83e7-4bf7-b4a9-7be48f32dd5b,#d9534f
"Cleaver Square, London SE11 4EA, UK",d41f64bb-46cf-4fc0-892e-4ebf263897a1,Bar,ChIJNz-oOpEEdkgRtr0pP7VoCZY,False,4b0f5199-a980-4d1b-b0df-15fd21df824c,51.48822182110479,-0.1090529188513755,The Prince of Wales,4.4,bc19aff1-8711-4cae-af74-a13b49bd1af4,#0275d8
"40 Acre Ln, London SW2 5SP, UK",b6fba238-e15d-4046-add2-5cbd96c5213d,Bar,ChIJQfUp7kIEdkgRp84y_4o-FUQ,False,cb8b3078-6cff-48dc-a629-5b562730874c,51.46061890289546,-0.1192553713917732,The Blues Kitchen,4.3,f23c49ec-fe29-4b7e-8270-86318febdfc4,#0275d8
"Victoria Embankment, London SW1A 2HR, UK",31e94930-b83f-4fed-914f-23c75fb14cae,Bar,ChIJR3wAzLEEdkgRTdaPTuBjrA4,False,0d0566ca-beb3-41be-8a22-5415fcf79d43,51.50455375658146,-0.1226222142577171,Tattershall Castle,4.3,457a9061-abd6-4bb1-8017-0c1eaeb4efdd,
"183 High St, Rickmansworth WD3 1AY, UK",9bc188bd-c112-456f-bfcf-5c31030b2d24,Bar,ChIJc9l0XtVrdkgRpeqloootNPE,False,3caa5c02-ee38-4a1d-9c2b-39bfcae80981,51.63912812042173,-0.473087690770626,The Fox & Hounds,4.4,1de6f3bd-59ca-47c3-9e5b-e924837389ba,
"15 Grosvenor Rise E, London E17 9LB, UK",243b75de-2b66-48a4-a302-4d8800692296,Bar,ChIJn9h9h_IddkgRcUXuJHkuRSM,False,d8b030ff-fb74-4f72-9cf4-8a3ec8434007,51.58069737698731,-0.0112055987119674,The Castle,4.3,4cb5aabd-df77-44d4-9f6a-e0452b6f00fa,
"Unit G, Waterloo Station, 01 The Sidings, London SE1 7BH, UK",31e94930-b83f-4fed-914f-23c75fb14cae,Bar,ChIJz2raGbUddkgR1EBfTLADLtI,False,2dc38644-2fce-446f-a813-a2ba3e18eedf,51.502307325007486,-0.1153675094246864,BrewDog,4.1,ebf71968-a0a8-48a5-b003-63b1b53f9375,#0275d8
"61-63 Tower Hamlets Rd, London E17 4RQ, UK",be3be431-d8c0-4327-83e7-4718f2d97d97,Bar,ChIJ8RRrJ-YddkgR28mStkbXE3U,False,2dbf12b8-120a-46fd-ab1a-d1bb0a6ea778,51.58895311235201,-0.0191070511937141,Walthamstow Trades Hall,4.5,4cb5aabd-df77-44d4-9f6a-e0452b6f00fa,#d9534f
"Unit 26, Hay’s Galleria, Greater, London SE1 2HD, UK",75808b33-a6d6-4e79-bc63-cce0831d36a9,Bar,ChIJzTKWP1ADdkgRTNDLN_08UDk,False,528783f6-5ba8-4207-9de5-ba7bcfa50cae,51.50615127687141,-0.082961730659008,The Horniman at Hays,4.1,f5b94c64-beb5-4295-95a1-34fc1f5b5a8d,#0275d8
